,Location,Birth Rate,Year,State,Region,Stabr
300,Vermont,47.2,2018,Vermont,Northeast,VT
301,Virginia,59.1,2018,Virginia,South,VA
302,Washington,57.5,2018,Washington,West,WA
303,West Virginia,57.2,2018,West Virginia,South,WV
304,Wisconsin,58.9,2018,Wisconsin,Midwest,WI
305,Wyoming,61.0,2018,Wyoming,West,WY
306,United States,58.3,2019,United States,N/A,US
307,Alabama,61.7,2019,Alabama,South,AL
308,Alaska,68.1,2019,Alaska,West,AK
309,Arizona,56.7,2019,Arizona,West,AZ
310,Arkansas,63.2,2019,Arkansas,South,AR
311,California,55.4,2019,California,West,CA
312,Colorado,53.3,2019,Colorado,West,CO
313,Connecticut,51.1,2019,Connecticut,Northeast,CT
314,Delaware,58.7,2019,Delaware,South,DE
315,Florida,56.6,2019,Florida,South,FL
316,Georgia,58.0,2019,Georgia,South,GA
317,Hawaii,63.9,2019,Hawaii,West,HI
318,Idaho,64.0,2019,Idaho,West,ID
319,Illinois,56.1,2019,Illinois,Midwest,IL
320,Indiana,61.7,2019,Indiana,Midwest,IN
321,Iowa,63.4,2019,Iowa,Midwest,IA
322,Kansas,63.0,2019,Kansas,Midwest,KS
323,Kentucky,62.6,2019,Kentucky,South,KY
324,Louisiana,63.9,2019,Louisiana,South,LA
325,Maine,50.6,2019,Maine,Northeast,ME
326,Maryland,59.2,2019,Maryland,South,MD
327,Massachusetts,49.6,2019,Massachusetts,Northeast,MA
328,Michigan,57.4,2019,Michigan,Midwest,MI
329,Minnesota,61.0,2019,Minnesota,Midwest,MN
330,Mississippi,62.7,2019,Mississippi,South,MS
331,Missouri,61.3,2019,Missouri,Midwest,MO
332,Montana,56.8,2019,Montana,West,MT
333,Nebraska,66.2,2019,Nebraska,Midwest,NE
334,Nevada,58.3,2019,Nevada,West,NV
335,New Hampshire,48.2,2019,New Hampshire,Northeast,NH
336,New Jersey,59.5,2019,New Jersey,Northeast,NJ
337,New Mexico,57.6,2019,New Mexico,West,NM
338,New York,57.2,2019,New York,Northeast,NY
339,North Carolina,57.8,2019,North Carolina,South,NC
340,North Dakota,70.6,2019,North Dakota,Midwest,ND
341,Ohio,60.8,2019,Ohio,Midwest,OH
342,Oklahoma,63.4,2019,Oklahoma,South,OK
343,Oregon,50.6,2019,Oregon,West,OR
344,Pennsylvania,56.3,2019,Pennsylvania,Northeast,PA
345,Rhode Island,48.8,2019,Rhode Island,Northeast,RI
